amount,is_weekend,is_high_value,is_new_customer,days_since_signup,shipping_billing_mismatch,actual_fraud,predicted_fraud,fraud_probability
84.35,0,0,0,206,1,False,0,0.31976485
650.14,0,1,0,217,1,False,0,0.31976485
263.68,0,0,0,297,1,False,0,0.31976485
675.5,0,1,0,180,1,False,0,0.31976485
164.4,1,0,0,319,1,False,0,0.31976485
465.48,0,0,0,56,1,False,0,0.31976485
773.22,1,1,0,199,1,True,0,0.31976485
769.16,0,1,0,196,1,False,0,0.31976485
762.6,0,1,0,266,1,False,0,0.31976485
321.35,1,0,0,173,1,False,0,0.31976485
597.54,0,1,0,249,1,False,0,0.31976485
988.14,1,1,0,246,1,False,0,0.31976485
172.26,0,0,0,108,1,False,0,0.31976485
300.13,0,0,0,165,1,False,0,0.31976485
160.25,0,0,0,178,1,False,0,0.31976485
309.52,1,0,0,118,1,False,0,0.31976485
238.46,0,0,0,122,1,False,0,0.31976485
1013.25,0,1,0,208,1,False,0,0.31976485
244.46,1,0,0,287,1,True,0,0.31976485
867.36,0,1,0,266,1,False,0,0.31976485
29.18,0,0,0,77,1,False,0,0.31976485
440.01,0,0,0,199,1,False,0,0.31976485
186.58,1,0,0,304,1,False,0,0.31976485
460.74,0,0,0,122,1,False,0,0.31976485
966.16,0,1,0,34,1,False,0,0.31976485
443.47,0,0,0,165,1,False,0,0.31976485
73.19,0,0,0,309,1,False,0,0.31976485
167.73,0,0,0,178,1,False,0,0.31976485
1477.14,0,1,0,196,1,False,0,0.31976485
322.19,0,0,0,296,1,False,0,0.31976485
1476.84,0,1,0,60,1,False,0,0.31976485
514.65,0,1,0,181,1,False,0,0.31976485
193.6,0,0,0,130,1,False,0,0.31976485
77.82,0,0,0,195,1,False,0,0.31976485
473.96,0,0,0,71,1,False,0,0.31976485
925.44,0,1,0,267,1,False,0,0.31976485
429.99,1,0,0,237,1,False,0,0.31976485
109.88,0,0,0,292,1,False,0,0.31976485
1155.78,0,1,0,280,1,False,0,0.31976485
815.16,0,1,0,145,1,True,0,0.31976485
480.78,0,0,0,323,1,False,0,0.31976485
1454.43,0,1,0,60,1,False,0,0.31976485
78.44,0,0,0,73,1,False,0,0.31976485
822.3,1,1,0,77,1,False,0,0.31976485
115.67,0,0,0,95,1,False,0,0.31976485
111.51,1,0,0,69,1,False,0,0.31976485
485.84,0,0,0,195,1,False,0,0.31976485
777.6,0,1,0,197,1,False,0,0.31976485
131.8,0,0,0,179,1,False,0,0.31976485
238.46,0,0,0,169,1,False,0,0.31976485
44.1,1,0,0,189,1,False,0,0.31976485
393.37,1,0,0,150,1,True,0,0.31976485
921.78,0,1,0,65,1,False,0,0.31976485
1157.34,0,1,0,191,1,False,0,0.31976485
840.72,0,1,0,180,1,False,0,0.31976485
302.24,0,0,0,235,1,False,0,0.31976485
143.43,0,0,0,131,1,False,0,0.31976485
24.15,0,0,0,254,1,False,0,0.31976485
970.2,0,1,0,301,1,False,0,0.31976485
515.3,1,1,0,95,1,False,0,0.31976485
483.47,1,0,0,202,1,False,0,0.31976485
161.05,0,0,0,211,1,False,0,0.31976485
161.38,0,0,0,265,1,False,0,0.31976485
1457.52,1,1,0,61,1,False,0,0.31976485
66.43,0,0,0,223,1,False,0,0.31976485
439.05,1,0,0,95,1,False,0,0.31976485
93.34,0,0,0,105,1,False,0,0.31976485
745.35,0,1,0,154,1,False,0,0.31976485
1437.84,0,1,0,127,1,False,0,0.31976485
914.38,0,1,0,223,1,False,0,0.31976485
244.36,0,0,0,111,1,False,0,0.31976485
335.1,1,0,0,60,1,False,0,0.31976485
131.84,1,0,0,102,1,False,0,0.31976485
63.09,1,0,0,239,1,False,0,0.31976485
66.78,0,0,0,185,1,False,0,0.31976485
46.01,0,0,0,203,1,False,0,0.31976485
1265.55,0,1,0,213,1,False,0,0.31976485
844.84,0,1,0,331,1,False,0,0.31976485
85.8,0,0,0,256,1,False,0,0.31976485
207.72,0,0,0,125,1,False,0,0.31976485
98.96,1,0,0,272,1,False,0,0.31976485
377.31,0,0,0,127,1,False,0,0.31976485
259.1,0,0,0,188,1,False,0,0.31976485
493.89,0,0,0,135,1,False,0,0.31976485
155.39,0,0,0,241,1,False,0,0.31976485
242.61,0,0,0,162,1,False,0,0.31976485
325.4,0,0,0,165,1,False,0,0.31976485
611.82,0,1,0,92,1,False,0,0.31976485
322.19,0,0,0,164,1,False,0,0.31976485
665.8,1,1,0,184,1,False,0,0.31976485
258.6,0,0,0,321,1,False,0,0.31976485
334.67,0,0,0,295,1,False,0,0.31976485
487.53,0,0,0,62,1,False,0,0.31976485
120.59,0,0,0,187,1,False,0,0.31976485
335.1,1,0,0,306,1,False,0,0.31976485
408.72,0,0,0,145,1,False,0,0.31976485
497.73,0,0,0,150,1,False,0,0.31976485
1217.79,1,1,0,107,1,True,0,0.31976485
79.6,0,0,0,134,1,False,0,0.31976485
86.25,0,0,0,179,1,False,0,0.31976485
404.71,0,0,0,230,1,True,0,0.31976485
196.64,0,0,0,73,1,False,0,0.31976485
92.02,0,0,0,36,1,False,0,0.31976485
456.12,1,0,0,155,1,False,0,0.31976485
952.14,0,1,0,242,1,False,0,0.31976485
975.06,1,1,0,142,1,False,0,0.31976485
131.38,0,0,0,132,1,False,0,0.31976485
91.49,0,0,0,217,1,False,0,0.31976485
146.35,1,0,0,273,1,False,0,0.31976485
91.49,0,0,0,159,1,False,0,0.31976485
1476.84,0,1,0,200,1,False,0,0.31976485
170.78,0,0,0,137,1,False,0,0.31976485
